"Date","Description","H/A","S1","S1P","S2","S2P","S3","S3P","S4","S4P","S5","S5P","Sets","SetsP","LPZ-Diff","Live-PZ"
01.09.2015,"Saisonstart",,,,,,,,,,,,,,,1607
10.09.2015,"Einzel 1","A","-",5,"-",3,"-",8,,,,,"-",0,-9,1598
,"Einzel 2","A","-",9,"+",7,"-",7,"+",5,"+",11,"+",2,+10,1608
14.09.2015,"Einzel 1","H","+",5,"+",3,"+",4,,,,,"+",0,+1,1609
,"Einzel 2","H","+",9,"-",1,"-",1,"+",8,"+",5,"+",2,+1,1610
28.09.2015,"Einzel 1","H","+",5,"+",7,"-",6,"-",6,"-",9,"-",2,-12,1598
,"Einzel 2","H","+",5,"-",6,"+",9,"-",4,"-",5,"-",2,-3,1595
04.10.2015,"Einzel 1","A","-",8,"+",6,"-",8,"-",8,,,"-",1,-5,1590
,"Einzel 2","A","-",4,"-",9,"-",9,,,,,"-",0,-3,1587
07.10.2015,"Einzel 1","A","-",13,"+",8,"-",9,"-",7,,,"-",1,-9,1578
,"Einzel 2","A","-",7,"-",7,"-",4,,,,,"-",0,-2,1576
06.11.2015,"Einzel 1","A","-",7,"-",10,"-",8,,,,,"-",0,-8,1568
12.11.2015,"Einzel 1","H","+",11,"+",8,"-",3,"-",8,"-",8,"-",2,-10,1558
,"Einzel 2","H","-",8,"-",10,"+",11,"+",10,"+",8,"+",2,+10,1568
19.11.2015,"Einzel 1","H","-",6,"-",7,"-",8,,,,,"-",0,-2,1566
,"Einzel 2","H","-",10,"+",9,"-",8,"-",8,,,"-",1,-4,1562
23.11.2015,"Einzel 1","A","-",8,"-",13,"-",6,,,,,"-",0,-1,1561
21.01.2016,"Einzel 1","A","+",9,"-",8,"-",5,"+",12,"+",4,"+",2,+4,1565
,"Einzel 2","A","-",8,"+",8,"+",5,"+",3,,,"+",1,+9,1574
10.02.2016,"Einzel 1","A","-",6,"-",6,"-",6,,,,,"-",0,-14,1560
,"Einzel 2","A","+",5,"+",6,"+",5,,,,,"+",0,+4,1564
14.02.2016,"Einzel 1","A","-",8,"-",3,"-",6,,,,,"-",0,-5,1559
16.02.2016,"Einzel 1","A","-",9,"-",8,"-",6,,,,,"-",0,-6,1553
25.02.2016,"Einzel 1","A","-",15,"+",9,"-",10,"+",9,"-",10,"-",2,+7,1560
,"Einzel 2","A","-",7,"-",9,"+",6,"+",9,"+",11,"+",2,-8,1552
07.03.2016,"Einzel 1","A","+",8,"+",1,"+",5,,,,,"+",0,+3,1555
,"Einzel 2","A","-",8,"+",10,"+",5,"-",9,"+",9,"+",2,+1,1556
13.03.2016,"Einzel 1","A","+",7,"+",6,"-",13,"-",5,"-",6,"-",2,-7,1549
